label,text,posneg,
FALSE,Says the Annies List political group supports third-trimester abortions on demand.,FALSE,
half-true,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,TRUE,the
mostly-true,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",TRUE,
FALSE,Health care reform legislation is likely to mandate free sex change surgeries.,FALSE,
half-true,The economic turnaround started at the end of my term.,TRUE,
TRUE,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,TRUE,
barely-true,Jim Dunnam has not lived in the district he represents for years now.,TRUE,
half-true,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",TRUE,
half-true,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",TRUE,
mostly-true,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,TRUE,
mostly-true,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",TRUE,
half-true,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",TRUE,
FALSE,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",FALSE,
mostly-true,The economy bled $24 billion due to the government shutdown.,TRUE,
barely-true,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,TRUE,
half-true,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",TRUE,
TRUE,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,TRUE,
barely-true,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",TRUE,
half-true,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",TRUE,
mostly-true,"Almost 100,000 people left Puerto Rico last year.",TRUE,
FALSE,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,FALSE,
mostly-true,The United States has the highest corporate tax rate in the free world.,TRUE,
mostly-true,We just had the best year for the auto industry in America in history.,TRUE,
half-true,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",TRUE,
barely-true,Says Mitt Romney wants to get rid of Planned Parenthood.,TRUE,
FALSE,I dont know who (Jonathan Gruber) is.,FALSE,
mostly-true,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,TRUE,
half-true,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,TRUE,
FALSE,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",FALSE,
mostly-true,Youth unemployment in minority communities is about 40 to 45 percent.,TRUE,
TRUE,Says Paul Ryan is still endorsing Trump.,TRUE,
barely-true,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",TRUE,
FALSE,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,FALSE,
mostly-true,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,TRUE,
mostly-true,Says Mark Pryor votes with Obama 93 percent of the time.,TRUE,
TRUE,We have a federal government that thinks they have the authority to regulate our toilet seats.,TRUE,
TRUE,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,TRUE,
TRUE,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",TRUE,
pants-fire,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",FALSE,
